# Species	Genes	Alg.-Conn.	E_billingiae_protein.faa	E_gerundensis_protein.faa	E_persicina_protein.faa	E_pyrifoliae_protein.faa	E_tasmaniensis_protein.faa
4	4	0.958	WP_013202278.1	*	WP_062743325.1	WP_012668139.1	WP_012441479.1
4	4	0.963	WP_013202286.1	*	WP_062743328.1	WP_012668143.1	WP_012441482.1
4	4	0.955	WP_013201931.1	WP_225700694.1	WP_118664221.1	WP_012668203.1	*
4	4	0.81	WP_013203779.1	*	WP_062743487.1	WP_012668216.1	WP_012441559.1
4	4	0.893	WP_013203778.1	*	WP_118664226.1	WP_012668217.1	WP_012441560.1
4	4	0.791	WP_013201855.1	*	WP_062743551.1	WP_012668262.1	WP_012441604.1
4	4	0.95	WP_013200679.1	WP_187485275.1	WP_062743900.1	WP_014539814.1	*
3	3	0.878	*	*	WP_222682094.1	WP_014538754.1	WP_157861786.1
3	3	0.788	*	*	WP_162900955.1	WP_014538759.1	WP_167310302.1
3	3	0.938	*	*	WP_062742649.1	WP_014538823.1	WP_012441132.1
3	3	0.969	*	*	WP_062743078.1	WP_014538824.1	WP_012441133.1
3	3	0.448	*	*	WP_245006742.1	WP_014538884.1	WP_012441390.1
4	4	0.772	WP_013202284.1	*	WP_062743326.1	WP_014538931.1	WP_012441480.1
4	4	0.824	WP_013201345.1	WP_067428822.1	WP_062749358.1	WP_014539201.1	*
3	3	0.99	*	*	WP_187509924.1	WP_014539273.1	WP_042959058.1
3	3	0.695	*	*	WP_222681944.1	WP_014539489.1	WP_012440220.1
4	4	0.955	WP_049789639.1	*	WP_245006697.1	WP_014539539.1	WP_042959371.1
3	3	0.993	*	*	WP_137269808.1	WP_014539540.1	WP_012442747.1
4	4	0.923	WP_013200419.1	*	WP_187509385.1	WP_014539541.1	WP_012442750.1
4	4	0.968	WP_013200418.1	*	WP_118664887.1	WP_014539542.1	WP_012442751.1
4	4	0.976	WP_013204216.1	WP_225701120.1	WP_118665333.1	WP_014539716.1	*
4	4	0.854	WP_013204314.1	*	WP_222681861.1	WP_014539804.1	WP_012442993.1
4	4	0.794	WP_013203257.1	*	WP_187509799.1	WP_014538719.1	WP_042958748.1
3	3	0.797	*	WP_067434861.1	WP_062743258.1	WP_014539816.1	*
4	4	0.499	WP_013202895.1	*	WP_062743908.1	WP_014539837.1	WP_012443022.1
3	3	0.403	*	*	WP_174522434.1	WP_014539844.1	WP_012443027.1
4	4	0.848	WP_013203862.1	*	WP_062743920.1	WP_014539859.1	WP_012443041.1
3	3	0.937	*	*	WP_240043774.1	WP_014539911.1	WP_012443079.1
3	3	0.848	*	*	WP_062744042.1	WP_014539927.1	WP_012443091.1
4	4	0.502	WP_071822088.1	WP_187487052.1	WP_222682363.1	WP_014540014.1	*
3	3	0.862	*	*	WP_062744045.1	WP_014542797.1	WP_012443092.1
4	4	0.925	WP_013201507.1	WP_067429160.1	WP_062746723.1	WP_014543870.1	*
4	4	0.902	WP_013201723.1	*	WP_062743613.1	WP_014544100.1	WP_042958957.1
4	4	0.949	WP_013200396.1	*	WP_062748092.1	WP_015899059.1	WP_012442771.1
4	4	0.794	WP_013200384.1	*	WP_062748124.1	WP_015899061.1	WP_012442778.1
4	4	0.94	WP_013200347.1	WP_209501143.1	WP_062748335.1	WP_015899083.1	*
4	4	0.942	WP_013204174.1	*	WP_062747583.1	WP_015899102.1	WP_012442867.1
4	4	0.828	WP_013203611.1	*	WP_062744343.1	WP_012669125.1	WP_012442477.1
4	4	0.956	WP_013201080.1	*	WP_137268731.1	WP_012668839.1	WP_012442178.1
4	4	0.924	WP_013201078.1	*	WP_062745050.1	WP_012668841.1	WP_012442180.1
4	4	0.758	WP_013201068.1	WP_067428480.1	WP_062745019.1	WP_012668853.1	*
3	3	0.969	*	*	WP_062749677.1	WP_012668878.1	WP_012442219.1
3	3	0.852	WP_013200996.1	*	WP_062747837.1	WP_012668922.1	*
3	3	0.892	WP_013200995.1	*	WP_062747839.1	WP_012668923.1	*
3	3	1	WP_013200994.1	*	WP_062747841.1	WP_012668924.1	*
4	4	0.747	WP_013200960.1	*	WP_222681663.1	WP_012668951.1	WP_049778761.1
4	4	0.777	WP_013200877.1	WP_157883916.1	WP_222681672.1	WP_012669012.1	*
3	3	0.965	*	*	WP_062744155.1	WP_012669022.1	WP_012442360.1
4	4	0.93	WP_013203551.1	*	WP_191936223.1	WP_012669066.1	WP_012442411.1
3	3	0.969	WP_041692290.1	WP_187487710.1	WP_062743363.1	*	*
4	4	0.953	WP_013203603.1	*	WP_118663289.1	WP_012669115.1	WP_012442467.1
4	4	0.954	WP_013203609.1	*	WP_222681969.1	WP_012669123.1	WP_012442475.1
4	4	0.951	WP_013203610.1	*	WP_222681968.1	WP_012669124.1	WP_012442476.1
3	3	0.766	*	WP_225700898.1	WP_222681540.1	WP_012667686.1	*
4	4	0.674	WP_013201819.1	WP_225701896.1	WP_222681701.1	WP_012669128.1	*
2	2	1	*	*	WP_062748138.1	WP_012669149.1	*
3	3	0.688	WP_013203736.1	*	WP_118664520.1	WP_012669155.1	*
4	4	0.867	WP_013203650.1	*	WP_062744290.1	WP_012669174.1	WP_012442497.1
2	2	1	*	*	WP_062746006.1	WP_012669197.1	*
4	4	0.902	WP_013201172.1	*	WP_187510398.1	WP_012669220.1	WP_012442537.1
4	4	0.688	WP_013201170.1	*	WP_062748722.1	WP_012669223.1	WP_012442539.1
4	4	0.658	WP_167738449.1	*	WP_118665591.1	WP_012669339.1	WP_012440247.1
3	3	0.598	*	*	WP_062745889.1	WP_012669354.1	WP_012440219.1
3	3	0.648	*	*	WP_244634662.1	WP_012669355.1	WP_042959245.1
4	4	0.896	WP_041692434.1	*	WP_062744436.1	WP_014538473.1	WP_042958562.1
4	4	0.903	WP_013203847.1	WP_225701068.1	WP_062746098.1	WP_014538494.1	*
3	3	0.774	*	*	WP_222681683.1	WP_014538610.1	WP_193345524.1
3	3	0.937	*	*	WP_222681680.1	WP_014538611.1	WP_042958679.1
5	5	0.741	WP_041691999.1	WP_067430475.1	WP_062743196.1	WP_014538936.1	WP_157861845.1
5	5	0.833	WP_049789634.1	WP_067427379.1	WP_062749326.1	WP_015899093.1	WP_071819198.1
5	5	0.916	WP_071822152.1	WP_067426966.1	WP_062748189.1	WP_071819835.1	WP_071819204.1
2	2	1	*	WP_067430134.1	*	*	WP_083772839.1
5	5	0.905	WP_041691968.1	WP_225700765.1	WP_222681555.1	WP_012668426.1	WP_083772844.1
5	5	0.916	WP_013201673.1	WP_225700775.1	WP_222681560.1	WP_081441641.1	WP_083772845.1
5	5	0.911	WP_013201290.1	WP_187487898.1	WP_062745362.1	WP_014539216.1	WP_083772847.1
5	5	0.925	WP_041692188.1	WP_225701290.1	WP_062748341.1	WP_014542571.1	WP_083772853.1
5	5	0.943	WP_105760296.1	WP_067433132.1	WP_118663369.1	WP_012669025.1	WP_083772863.1
5	5	0.872	WP_071822090.1	WP_187487116.1	WP_072277511.1	WP_104945175.1	WP_157037486.1
3	3	0.542	WP_041691806.1	WP_225701605.1	*	*	WP_157861766.1
2	2	1	*	WP_225701528.1	*	*	WP_157861798.1
5	5	0.951	WP_013201501.1	WP_225700830.1	WP_222681590.1	WP_012668581.1	WP_157861801.1
4	4	0.819	WP_013201236.1	WP_225701670.1	WP_222681634.1	*	WP_157861805.1
5	5	0.914	WP_105760302.1	WP_157883892.1	WP_137269027.1	WP_104945017.1	WP_157861814.1
5	5	0.927	WP_157868021.1	WP_187487795.1	WP_137269693.1	WP_148217834.1	WP_157861842.1
4	4	0.892	WP_013201213.1	WP_225701642.1	*	WP_041474022.1	WP_071819180.1
5	5	0.878	WP_013201634.1	WP_067429505.1	WP_062743893.1	WP_012668476.1	WP_157861846.1
5	5	0.916	WP_157868053.1	WP_157883852.1	WP_205423298.1	WP_012668589.1	WP_157861847.1
5	5	0.939	WP_013202226.1	WP_067436724.1	WP_222682290.1	WP_014538497.1	WP_167310300.1
4	4	0.931	WP_071822124.1	WP_209502197.1	WP_167550598.1	*	WP_167310301.1
5	5	0.949	WP_041692064.1	WP_067432097.1	WP_062742830.1	WP_187298253.1	WP_167310303.1
5	5	0.905	WP_013203909.1	WP_071852561.1	WP_062744372.1	WP_104945154.1	WP_167310309.1
5	5	0.717	WP_134824878.1	WP_187488246.1	WP_137268920.1	WP_148217851.1	WP_167310312.1
5	5	0.937	WP_013201144.1	WP_209500368.1	WP_062745111.1	WP_041474129.1	WP_193345516.1
5	5	0.934	WP_013203668.1	WP_067433467.1	WP_062744349.1	WP_014539423.1	WP_193345518.1
5	5	0.943	WP_013200510.1	WP_187486509.1	WP_191927788.1	WP_187298261.1	WP_193345519.1
5	5	0.952	WP_013204047.1	WP_067427503.1	WP_062744480.1	WP_012666708.1	WP_193345522.1
5	5	0.981	WP_013203471.1	WP_067433095.1	WP_245006712.1	WP_012667256.1	WP_193345526.1
5	5	0.773	WP_041692100.1	WP_067433043.1	WP_062744568.1	WP_012667275.1	WP_193345527.1
5	5	0.933	WP_191907203.1	WP_209502304.1	WP_198424998.1	WP_222838328.1	WP_193345531.1
4	4	0.646	WP_013200957.1	WP_225700747.1	WP_062747900.1	*	WP_042959343.1
5	5	0.72	WP_041692185.1	WP_225701277.1	WP_222681779.1	WP_104945161.1	WP_042959230.1
5	5	0.939	WP_013204089.1	WP_067427423.1	WP_062744517.1	WP_041474077.1	WP_042959235.1
5	5	0.822	WP_013204038.1	WP_067427519.1	WP_062744472.1	WP_012666717.1	WP_042959237.1
5	5	0.681	WP_134824809.1	WP_225701056.1	WP_062744419.1	WP_012666760.1	WP_042959239.1
5	5	0.949	WP_041692096.1	WP_209501555.1	WP_222682019.1	WP_014538671.1	WP_042959275.1
5	5	0.906	WP_013203157.1	WP_187487402.1	WP_062743024.1	WP_012667534.1	WP_042959281.1
5	5	0.949	WP_013202995.1	WP_225701498.1	WP_062742872.1	WP_012667677.1	WP_042959296.1
4	4	0.711	WP_013202966.1	WP_225701505.1	WP_187510078.1	*	WP_042959297.1
5	5	0.939	WP_013202897.1	WP_225701737.1	WP_118663773.1	WP_012667748.1	WP_042959300.1
4	4	0.916	WP_013202650.1	WP_187486708.1	WP_222682212.1	*	WP_042959301.1
5	5	0.902	WP_013202491.1	WP_067435361.1	WP_062746224.1	WP_041474108.1	WP_042959303.1
5	5	0.871	WP_041692329.1	WP_067431117.1	WP_118664059.1	WP_012667944.1	WP_042959304.1
5	5	0.651	WP_013202585.1	WP_173645410.1	WP_202939964.1	WP_012669284.1	WP_042959313.1
5	5	0.883	WP_013201568.1	WP_187486365.1	WP_222681574.1	WP_041474009.1	WP_042959331.1
4	4	0.908	WP_013201483.1	WP_225700833.1	WP_062746748.1	*	WP_042959332.1
5	5	0.934	WP_013203006.1	WP_067432241.1	WP_062742880.1	WP_187298274.1	WP_193345536.1
5	5	0.92	WP_013200530.1	WP_067433869.1	WP_062745579.1	WP_012666904.1	WP_042959359.1
5	5	0.883	WP_013200503.1	WP_067433951.1	WP_062745786.1	WP_012666878.1	WP_042959362.1
5	5	0.923	WP_013200468.1	WP_067434042.1	WP_062745737.1	WP_014538509.1	WP_042959365.1
5	5	0.933	WP_013204533.1	WP_225701784.1	WP_245006743.1	WP_015899192.1	WP_042959391.1
5	5	0.927	WP_013204576.1	WP_187488860.1	WP_118665143.1	WP_015899207.1	WP_042959392.1
5	5	0.751	WP_041691886.1	WP_067427783.1	WP_072277449.1	WP_012666969.1	WP_049778741.1
3	3	0.37	*	WP_067435650.1	WP_062746367.1	*	WP_049778749.1
5	5	0.746	WP_013201235.1	WP_225700759.1	WP_062745234.1	WP_041474021.1	WP_049778757.1
5	5	0.96	WP_041691921.1	WP_187486224.1	WP_137269933.1	WP_014543580.1	WP_049778760.1
5	5	0.954	WP_013203872.1	WP_067427635.1	WP_062745806.1	WP_012666808.1	WP_068794415.1
4	4	0.8	WP_013203380.1	WP_067432834.1	WP_062744722.1	*	WP_071819164.1
5	5	0.655	WP_225309851.1	WP_071852506.1	WP_072277393.1	WP_071819574.1	WP_071819173.1
5	5	0.945	WP_071822113.1	WP_067430238.1	WP_072277407.1	WP_071819175.1	WP_071819175.1
5	5	0.936	WP_071822140.1	WP_071852493.1	WP_072277417.1	WP_004156979.1	WP_071819178.1
3	3	0.987	*	*	WP_062747215.1	WP_012667149.1	WP_012440566.1
4	4	0.925	WP_013203902.1	*	WP_062744369.1	WP_012666787.1	WP_012440171.1
4	4	0.866	WP_231853700.1	WP_067433893.1	WP_062745595.1	WP_012666896.1	*
4	4	0.953	WP_013200524.1	WP_225701327.1	WP_062745589.1	WP_012666899.1	*
3	3	0.956	WP_013202611.1	*	WP_062743787.1	WP_012666938.1	*
3	3	0.903	WP_013202610.1	*	WP_062743788.1	WP_012666939.1	*
3	3	0.835	WP_013202609.1	*	WP_062743789.1	WP_012666940.1	*
2	2	1	*	*	WP_118664323.1	WP_012666942.1	*
3	3	0.933	WP_013202606.1	*	WP_118664324.1	WP_012666944.1	*
4	4	0.943	WP_013200598.1	*	WP_222681703.1	WP_012666961.1	WP_012440347.1
4	4	0.954	WP_013200600.1	*	WP_191927739.1	WP_012666963.1	WP_012440349.1
4	4	0.922	WP_013200603.1	*	WP_062745400.1	WP_012666967.1	WP_012440352.1
3	3	0.943	WP_013200638.1	*	WP_062747336.1	WP_012667014.1	*
4	4	0.928	WP_013200642.1	*	WP_062747342.1	WP_012667017.1	WP_012440412.1
4	4	0.804	WP_013200763.1	*	WP_062747282.1	WP_012667105.1	WP_012440510.1
3	3	0.979	*	*	WP_062747217.1	WP_012667148.1	WP_231853301.1
4	4	0.566	WP_013203944.1	*	WP_222681933.1	WP_012666783.1	WP_012440167.1
3	3	0.941	*	*	WP_222681684.1	WP_012667150.1	WP_012440567.1
3	3	0.912	*	*	WP_222681682.1	WP_012667152.1	WP_012440569.1
3	3	0.919	*	*	WP_245006692.1	WP_012667153.1	WP_042958677.1
2	2	1	*	*	WP_062742552.1	WP_012667300.1	*
2	2	1	*	*	WP_062742551.1	WP_012667301.1	*
3	3	0.98	*	*	WP_222682032.1	WP_012667420.1	WP_012440791.1
4	4	0.634	WP_013203378.1	*	WP_240343561.1	WP_012667423.1	WP_012440794.1
4	4	0.955	WP_013203346.1	*	WP_062744802.1	WP_012667461.1	WP_012440821.1
3	3	0.591	WP_013203343.1	*	WP_222682037.1	WP_012667465.1	*
4	4	0.837	WP_013203268.1	*	WP_222682044.1	WP_012667500.1	WP_042958744.1
4	4	0.923	WP_013203029.1	*	WP_222682102.1	WP_012667652.1	WP_012441006.1
4	4	0.973	WP_013203028.1	*	WP_062742900.1	WP_012667653.1	WP_012441007.1
4	4	0.947	WP_013203027.1	*	WP_062742899.1	WP_012667654.1	WP_012441008.1
4	4	0.658	WP_013202987.1	*	WP_240343580.1	WP_012667684.1	WP_042958789.1
5	5	0.95	WP_013201492.1	WP_067429113.1	WP_118664369.1	WP_012668588.1	WP_231853335.1
5	5	0.948	WP_041692258.1	WP_067429529.1	WP_062743892.1	WP_162013510.1	WP_193345537.1
5	5	0.965	WP_173363026.1	WP_187488250.1	WP_222682331.1	WP_012668478.1	WP_193345538.1
5	5	0.903	WP_173363038.1	WP_067431975.1	WP_222681627.1	WP_012668775.1	WP_193345540.1
5	5	0.943	WP_013203590.1	WP_173645377.1	WP_137269015.1	WP_041474037.1	WP_193345541.1
5	5	0.942	WP_013204527.1	WP_187487818.1	WP_062744048.1	WP_014539932.1	WP_193345542.1
2	2	1	*	WP_225700714.1	*	*	WP_231853272.1
4	4	0.683	WP_013202238.1	WP_067436733.1	WP_062746537.1	*	WP_231853280.1
5	5	0.903	WP_013204320.1	WP_067426906.1	WP_062744127.1	WP_014539829.1	WP_231853291.1
5	5	0.371	WP_041692063.1	WP_187485697.1	WP_062742826.1	WP_012667711.1	WP_231853305.1
5	5	0.916	WP_231853701.1	WP_071852481.1	WP_204695070.1	WP_222838327.1	WP_231853314.1
5	5	0.906	WP_013200828.1	WP_187485890.1	WP_222681676.1	WP_012667208.1	WP_231853317.1
5	5	0.938	WP_219845779.1	WP_222938449.1	WP_062744759.1	WP_012667434.1	WP_231853318.1
4	4	0.955	WP_041692060.1	WP_173645373.1	WP_245006734.1	*	WP_231853322.1
4	4	0.923	WP_231853718.1	WP_225701627.1	*	WP_012667961.1	WP_231853326.1
5	5	0.763	WP_041691996.1	WP_067430344.1	WP_062743457.1	WP_012668190.1	WP_231853328.1
3	3	0.549	*	*	WP_222681883.1	WP_015899109.1	WP_231853288.1
5	5	0.927	WP_013200351.1	WP_067434237.1	WP_222681775.1	WP_015899081.1	WP_231853342.1
4	4	0.968	WP_013201102.1	*	WP_062745093.1	WP_004156457.1	WP_012442164.1
3	3	1	*	*	WP_118665656.1	WP_004158969.1	WP_004158969.1
3	3	0.385	*	*	WP_062749059.1	WP_011078049.1	WP_012443158.1
3	3	0.891	WP_013202085.1	*	WP_222682359.1	WP_011078067.1	*
4	4	0.818	WP_013200049.1	WP_067426495.1	WP_137268987.1	WP_012666401.1	*
3	3	0.905	*	*	WP_062746969.1	WP_012666437.1	WP_012439825.1
3	3	0.888	*	*	WP_191928191.1	WP_012666472.1	WP_012439846.1
3	3	0.467	*	*	WP_222681803.1	WP_012666477.1	WP_012439851.1
3	3	0.807	*	*	WP_222682349.1	WP_012666480.1	WP_012439854.1
4	4	0.952	WP_013200265.1	*	WP_062748637.1	WP_012666597.1	WP_012439995.1
4	4	0.968	WP_013204062.1	*	WP_062744493.1	WP_012666695.1	WP_012440069.1
3	3	0.955	*	*	WP_062744536.1	WP_012666742.1	WP_012440118.1
4	4	0.955	WP_013203976.1	*	WP_118665924.1	WP_012666759.1	WP_012440136.1
2	2	1	WP_013202017.1	*	WP_137268573.1	*	*
2	2	1	WP_013201195.1	*	WP_118664626.1	*	*
2	2	1	WP_013200707.1	*	WP_118664662.1	*	*
2	2	1	WP_013200656.1	*	WP_118664700.1	*	*
2	2	1	WP_013203941.1	*	WP_118664865.1	*	*
2	2	1	WP_013204235.1	*	WP_118665319.1	*	*
2	2	1	WP_013203825.1	*	WP_118665535.1	*	*
2	2	1	WP_013203809.1	*	WP_118665555.1	*	*
2	2	1	WP_041692401.1	*	WP_118665640.1	*	*
2	2	1	WP_013203326.1	*	WP_118665660.1	*	*
2	2	1	WP_013204434.1	*	WP_118665664.1	*	*
2	2	1	WP_013200703.1	*	WP_118666178.1	*	*
2	2	1	WP_041691817.1	*	WP_118666190.1	*	*
2	2	1	WP_013204542.1	*	WP_118666215.1	*	*
2	2	1	WP_013203918.1	*	WP_118666218.1	*	*
2	2	1	WP_013201959.1	*	WP_137268550.1	*	*
2	2	1	WP_013200956.1	*	WP_118664566.1	*	*
2	2	1	WP_013202051.1	*	WP_137268585.1	*	*
2	2	1	WP_013202097.1	*	WP_137268589.1	*	*
2	2	1	WP_049789624.1	*	WP_137268684.1	*	*
2	2	1	WP_041692093.1	*	WP_137268759.1	*	*
2	2	1	WP_013201639.1	*	WP_137268872.1	*	*
2	2	1	WP_013204540.1	*	WP_137268967.1	*	*
2	2	1	WP_013204154.1	*	WP_137269248.1	*	*
2	2	1	WP_013204463.1	*	WP_137269337.1	*	*
2	2	1	WP_013202072.1	*	WP_137269357.1	*	*
2	2	1	WP_231853715.1	*	WP_137269367.1	*	*
2	2	1	WP_013200688.1	*	WP_137269376.1	*	*
2	2	1	WP_013201413.1	*	WP_137269634.1	*	*
2	2	1	WP_013203939.1	*	WP_137269813.1	*	*
2	2	1	WP_013203142.1	*	WP_137269899.1	*	*
2	2	1	WP_013200366.1	*	WP_137270019.1	*	*
2	2	1	WP_013203329.1	*	WP_118663523.1	*	*
2	2	1	WP_013200557.1	*	WP_062748694.1	*	*
2	2	1	WP_041692154.1	*	WP_062748734.1	*	*
2	2	1	WP_013203927.1	*	WP_062748799.1	*	*
2	2	1	WP_013203926.1	*	WP_062748801.1	*	*
2	2	1	WP_013202761.1	*	WP_062749003.1	*	*
2	2	1	WP_013203919.1	*	WP_062749057.1	*	*
2	2	1	WP_013202889.1	*	WP_062749582.1	*	*
2	2	1	WP_013203951.1	*	WP_072277382.1	*	*
2	2	1	WP_013202174.1	*	WP_084344165.1	*	*
2	2	1	WP_013201173.1	*	WP_084344194.1	*	*
2	2	1	WP_013201772.1	*	WP_084344204.1	*	*
2	2	1	WP_013200308.1	*	WP_084344229.1	*	*
2	2	1	WP_013203614.1	*	WP_118663277.1	*	*
2	2	1	WP_013203613.1	*	WP_118663279.1	*	*
2	2	1	WP_013201174.1	*	WP_118663487.1	*	*
2	2	1	WP_162096477.1	*	WP_161975975.1	*	*
2	2	1	WP_013203328.1	*	WP_118663525.1	*	*
2	2	1	WP_013203327.1	*	WP_118663527.1	*	*
2	2	1	WP_013203324.1	*	WP_118663531.1	*	*
2	2	1	WP_013203316.1	*	WP_118663542.1	*	*
2	2	1	WP_013202218.1	*	WP_118663804.1	*	*
2	2	1	WP_013202219.1	*	WP_118663805.1	*	*
2	2	1	WP_013202852.1	*	WP_118663831.1	*	*
2	2	1	WP_013202633.1	*	WP_118663991.1	*	*
2	2	1	WP_013202626.1	*	WP_118663994.1	*	*
2	2	1	WP_013202623.1	*	WP_118663995.1	*	*
2	2	1	WP_013201382.1	*	WP_118664108.1	*	*
2	2	1	WP_013201742.1	*	WP_118664150.1	*	*
2	2	1	WP_013202096.1	*	WP_118664168.1	*	*
2	2	1	WP_049789671.1	*	WP_118664272.1	*	*
2	2	1	WP_231853706.1	*	WP_118664458.1	*	*
2	2	1	WP_013203940.1	*	WP_222681754.1	*	*
2	2	1	WP_013203731.1	*	WP_222681522.1	*	*
2	2	1	WP_013203720.1	*	WP_222681523.1	*	*
2	2	1	WP_013203721.1	*	WP_222681524.1	*	*
2	2	1	WP_013203724.1	*	WP_222681526.1	*	*
2	2	1	WP_013203728.1	*	WP_222681527.1	*	*
2	2	1	WP_013201494.1	*	WP_222681591.1	*	*
2	2	1	WP_013201407.1	*	WP_222681603.1	*	*
2	2	1	WP_013203946.1	*	WP_222681604.1	*	*
2	2	1	WP_013202876.1	*	WP_222681606.1	*	*
2	2	1	WP_013202878.1	*	WP_222681607.1	*	*
2	2	1	WP_013200973.1	*	WP_222681640.1	*	*
2	2	1	WP_013202249.1	*	WP_222681641.1	*	*
2	2	1	WP_013201047.1	*	WP_222681649.1	*	*
2	2	1	WP_013201182.1	*	WP_222681706.1	*	*
2	2	1	WP_013200475.1	*	WP_222681732.1	*	*
2	2	1	WP_013201871.1	*	WP_222681509.1	*	*
2	2	1	WP_013203942.1	*	WP_222681755.1	*	*
2	2	1	WP_013200440.1	*	WP_222681766.1	*	*
2	2	1	WP_013200367.1	*	WP_222681771.1	*	*
2	2	1	WP_162096471.1	*	WP_222681772.1	*	*
2	2	1	WP_013200362.1	*	WP_222681773.1	*	*
2	2	1	WP_013200322.1	*	WP_222681777.1	*	*
2	2	1	WP_013200118.1	*	WP_222681800.1	*	*
2	2	1	WP_013200117.1	*	WP_222681801.1	*	*
2	2	1	WP_013204536.1	*	WP_222681823.1	*	*
2	2	1	WP_157868043.1	*	WP_222681824.1	*	*
2	2	1	WP_013202590.1	*	WP_222681834.1	*	*
2	2	1	WP_013202594.1	*	WP_222681835.1	*	*
2	2	1	WP_013202283.1	*	WP_222681850.1	*	*
2	2	1	WP_013203856.1	*	WP_222681851.1	*	*
2	2	1	WP_013202857.1	*	WP_222681862.1	*	*
2	2	1	WP_081461040.1	*	WP_191927794.1	*	*
2	2	1	WP_162096478.1	*	WP_161975976.1	*	*
2	2	1	WP_167738400.1	*	WP_162900971.1	*	*
2	2	1	WP_013203723.1	*	WP_174522409.1	*	*
2	2	1	WP_013203612.1	*	WP_174522419.1	*	*
2	2	1	WP_013202159.1	*	WP_187509152.1	*	*
2	2	1	WP_013204473.1	*	WP_187509453.1	*	*
2	2	1	WP_013204472.1	*	WP_187509454.1	*	*
2	2	1	WP_013202879.1	*	WP_187509566.1	*	*
2	2	1	WP_071822109.1	*	WP_187509615.1	*	*
2	2	1	WP_013200192.1	*	WP_187510316.1	*	*
2	2	1	WP_013200377.1	*	WP_187510352.1	*	*
2	2	1	WP_013202760.1	*	WP_187510366.1	*	*
2	2	1	WP_013202912.1	*	WP_191927140.1	*	*
2	2	1	WP_013199748.1	*	WP_191927269.1	*	*
2	2	1	WP_013203775.1	*	WP_191927610.1	*	*
2	2	1	WP_013201330.1	*	WP_062748472.1	*	*
2	2	1	WP_041692445.1	*	WP_191927937.1	*	*
2	2	1	WP_013200320.1	*	WP_191928032.1	*	*
2	2	1	WP_041692148.1	*	WP_204695072.1	*	*
2	2	1	WP_013201385.1	*	WP_222681441.1	*	*
2	2	1	WP_013203770.1	*	WP_222681463.1	*	*
2	2	1	WP_013202094.1	*	WP_222681466.1	*	*
2	2	1	WP_013202092.1	*	WP_222681467.1	*	*
2	2	1	WP_013202091.1	*	WP_222681468.1	*	*
2	2	1	WP_013202090.1	*	WP_222681469.1	*	*
2	2	1	WP_013204446.1	*	WP_222681484.1	*	*
2	2	1	WP_013204445.1	*	WP_222681485.1	*	*
2	2	1	WP_041691997.1	*	WP_222681489.1	*	*
2	2	1	WP_013201875.1	*	WP_222681506.1	*	*
2	2	1	WP_013201874.1	*	WP_222681507.1	*	*
2	2	1	WP_013201873.1	*	WP_222681508.1	*	*
2	2	1	WP_013201783.1	*	WP_062743244.1	*	*
2	2	1	WP_013202850.1	*	WP_062742687.1	*	*
2	2	1	WP_013202851.1	*	WP_062742688.1	*	*
2	2	1	WP_013204303.1	*	WP_062742734.1	*	*
2	2	1	WP_013204304.1	*	WP_062742735.1	*	*
2	2	1	WP_013200930.1	*	WP_062742860.1	*	*
2	2	1	WP_013201582.1	*	WP_062742863.1	*	*
2	2	1	WP_013203019.1	*	WP_062742891.1	*	*
2	2	1	WP_013203101.1	*	WP_062742961.1	*	*
2	2	1	WP_013202189.1	*	WP_062743015.1	*	*
2	2	1	WP_013202188.1	*	WP_062743016.1	*	*
2	2	1	WP_013203952.1	*	WP_062743040.1	*	*
2	2	1	WP_013203950.1	*	WP_062743041.1	*	*
2	2	1	WP_013203949.1	*	WP_062743042.1	*	*
2	2	1	WP_013200929.1	*	WP_062743098.1	*	*
2	2	1	WP_231853708.1	*	WP_062743237.1	*	*
2	2	1	WP_013202841.1	*	WP_062742678.1	*	*
2	2	1	WP_013202127.1	*	WP_062743245.1	*	*
2	2	1	WP_013203635.1	*	WP_062743289.1	*	*
2	2	1	WP_013202186.1	*	WP_062743317.1	*	*
2	2	1	WP_013202095.1	*	WP_062743332.1	*	*
2	2	1	WP_013202093.1	*	WP_062743334.1	*	*
2	2	1	WP_013201990.1	*	WP_062743398.1	*	*
2	2	1	WP_013202098.1	*	WP_062743430.1	*	*
2	2	1	WP_013202038.1	*	WP_062743431.1	*	*
2	2	1	WP_013201958.1	*	WP_062743444.1	*	*
2	2	1	WP_041691990.1	*	WP_062743531.1	*	*
2	2	1	WP_013203734.1	*	WP_062743578.1	*	*
2	2	1	WP_013203732.1	*	WP_062743579.1	*	*
2	2	1	WP_013203730.1	*	WP_062743581.1	*	*
2	2	1	WP_231853687.1	*	WP_062743611.1	*	*
2	2	1	WP_013201729.1	*	WP_062743612.1	*	*
2	2	1	WP_013199786.1	WP_225702111.1	*	*	*
2	2	1	WP_013204448.1	WP_225702044.1	*	*	*
2	2	1	WP_013200436.1	WP_225702045.1	*	*	*
2	2	1	WP_013200435.1	WP_225702046.1	*	*	*
2	2	1	WP_013200684.1	WP_225702048.1	*	*	*
2	2	1	WP_013199949.1	WP_225702052.1	*	*	*
2	2	1	WP_013202339.1	WP_225702061.1	*	*	*
2	2	1	WP_013202602.1	WP_225702062.1	*	*	*
2	2	1	WP_013202264.1	WP_225702070.1	*	*	*
2	2	1	WP_013200939.1	WP_225702073.1	*	*	*
